run_id,task_id,category,model_name,score_0shot,score_1shot,score_2shot,score_4shot,score_8shot,improvement_rate,threshold_shots,learning_curve_auc,num_trials,total_input_tokens,total_output_tokens,total_latency_ms,score_variance,collapse_pattern,resilience_score
20260224_112144,classification_001,classification,claude-haiku-4-5-20251001,0.2,0.2,0.2,0.4,0.4,0.025,-1,0.325,1,0,0,19295,0.0,stable,1.0
20260224_112144,classification_001,classification,claude-opus-4-5-20251101,0.2,0.2,0.4,0.4,0.6,0.0499999999999999,-1,0.4125,1,0,0,43148,0.0,stable,1.0
20260224_112144,classification_001,classification,gemini-2.5-flash,0.2,0.2,0.2,0.4,0.8,0.075,8,0.425,1,0,0,107388,0.0,stable,1.0
20260224_112144,classification_001,classification,gemini-3-flash-preview,0.0,0.2,0.2,0.4,0.4,0.05,-1,0.3125,1,0,0,464041,0.0,stable,0.9285714285714286
20260224_112144,classification_001,classification,gemini-3-pro-preview,0.6,0.4,0.4,0.4,0.6,0.0,-1,0.4625,1,0,0,760052,0.0,stable,1.0
20260224_112144,code_fix_001,code_fix,claude-haiku-4-5-20251001,1.0,1.0,1.0,1.0,1.0,0.0,0,1.0,1,0,0,14109,0.0,stable,1.0
20260224_112144,code_fix_001,code_fix,claude-opus-4-5-20251101,1.0,1.0,1.0,1.0,1.0,0.0,0,1.0,1,0,0,27945,0.0,stable,1.0
20260224_112144,code_fix_001,code_fix,gemini-2.5-flash,1.0,1.0,1.0,1.0,1.0,0.0,0,1.0,1,0,0,41011,0.0,stable,1.0
20260224_112144,code_fix_001,code_fix,gemini-3-flash-preview,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,0.0,0,0.8958333333333333,1,0,0,120833,0.0,stable,0.9285714285714286
20260224_112144,code_fix_001,code_fix,gemini-3-pro-preview,1.0,1.0,1.0,1.0,1.0,0.0,0,1.0,1,0,0,187649,0.0,stable,1.0
20260224_112144,custom_route_001,custom,claude-haiku-4-5-20251001,0.8696969696969697,0.9666666666666668,0.903030303030303,0.9666666666666668,0.9333333333333332,0.0079545454545454,0,0.9403409090909092,1,0,0,75794,0.0,stable,1.0
20260224_112144,custom_route_001,custom,claude-opus-4-5-20251101,0.8333333333333334,0.8696969696969696,0.8363636363636363,0.9333333333333332,0.9666666666666668,0.0166666666666666,0,0.9092803030303028,1,0,0,142418,0.0,stable,1.0
20260224_112144,custom_route_001,custom,gemini-2.5-flash,0.903030303030303,0.9333333333333332,0.9333333333333332,0.9333333333333332,0.9666666666666668,0.0079545454545454,0,0.9397727272727272,1,0,0,501620,0.0,stable,1.0
20260224_112144,custom_route_001,custom,gemini-3-flash-preview,0.3333333333333333,0.2666666666666666,0.2666666666666666,0.6363636363636364,0.3333333333333333,0.0,-1,0.4261363636363636,1,0,0,313352,0.0,peak_regression,0.9285714285714286
20260224_112144,custom_route_001,custom,gemini-3-pro-preview,0.7696969696969697,0.9333333333333332,0.9666666666666668,0.9333333333333332,0.9333333333333332,0.0204545454545454,1,0.9293560606060604,1,0,0,525226,0.0,stable,1.0
20260224_112144,summarization_001,summarization,claude-haiku-4-5-20251001,0.0,0.1476476476476476,0.1427174975562072,0.3902777777777778,0.6599925843529849,0.0824990730441231,-1,0.3565677995026577,1,0,0,20096,0.0,stable,1.0
20260224_112144,summarization_001,summarization,claude-opus-4-5-20251101,0.2464646464646464,0.4071071071071071,0.5002104377104377,0.6011200716845878,0.7504105090311987,0.062993232820819,-1,0.573104540002656,1,0,0,38784,0.0,stable,1.0
20260224_112144,summarization_001,summarization,gemini-2.5-flash,0.1017501017501017,0.6070668369518945,0.5521599698170158,0.282051282051282,0.683150183150183,0.0726750101750101,-1,0.4623295068758352,1,0,0,68453,0.0,stable,1.0
20260224_112144,summarization_001,summarization,gemini-3-flash-preview,0.2988489742875708,0.489033189033189,0.5758053221288515,0.7059900883430296,0.7252115700391563,0.0532953244689481,-1,0.6338198830597066,1,0,0,306090,0.0,stable,0.9285714285714286
20260224_112144,summarization_001,summarization,gemini-3-pro-preview,0.2750664368311427,0.5562228895562229,0.5680680680680681,0.6938884869919354,0.7001763668430335,0.0531387412514863,-1,0.6284845505919712,1,0,0,194699,0.0,stable,1.0
