run_id,task_id,category,model_name,example_selection,score_0shot,score_1shot,score_2shot,score_4shot,score_8shot,improvement_rate,threshold_shots,learning_curve_auc,num_trials,total_input_tokens,total_output_tokens,total_latency_ms,score_variance,pass_at_1,pass_all_1,pass_at_3,pass_all_3
local_model_demo,classification_001,classification,lmstudio/google/gemma-3-27b,fixed,0.0,0.20000000000000004,0.20000000000000004,0.3333333333333333,0.6,0.075,-1,0.3375,3,0,0,107666,0.0017777777777777779,0.0,0.0,0.0,0.0
local_model_demo,classification_001,classification,lmstudio/google/gemma-3-27b,tfidf,0.0,0.4000000000000001,0.6,0.6,0.6,0.075,-1,0.5375,3,0,0,98436,6.162975822039155e-34,0.0,0.0,0.0,0.0
local_model_demo,classification_001,classification,lmstudio/openai/gpt-oss-120b,fixed,0.0,0.4000000000000001,0.4000000000000001,0.4000000000000001,0.5333333333333333,0.06666666666666667,-1,0.4083333333333334,3,0,0,105980,0.007111111111111112,0.06666666666666668,0.06666666666666667,0.2,0.0
local_model_demo,classification_001,classification,lmstudio/openai/gpt-oss-120b,tfidf,0.0,0.4000000000000001,0.4000000000000001,0.26666666666666666,0.4666666666666666,0.05833333333333333,-1,0.3416666666666667,3,0,0,108221,0.003555555555555555,0.0,0.0,0.0,0.0
local_model_demo,classification_001,classification,lmstudio/qwen/qwen3-vl-8b,fixed,0.0,0.20000000000000004,0.26666666666666666,0.4000000000000001,0.4000000000000001,0.05000000000000001,-1,0.32500000000000007,3,0,0,148242,0.001777777777777778,0.0,0.0,0.0,0.0
local_model_demo,classification_001,classification,lmstudio/qwen/qwen3-vl-8b,tfidf,0.0,0.6,0.6,0.6,0.4000000000000001,0.05000000000000001,-1,0.5125,3,0,0,292294,6.162975822039155e-34,0.0,0.0,0.0,0.0
local_model_demo,code_fix_001,code_fix,lmstudio/google/gemma-3-27b,fixed,1.0,1.0,1.0,1.0,1.0,0.0,0,1.0,3,0,0,246980,0.0,1.0,1.0,1.0,1.0
local_model_demo,code_fix_001,code_fix,lmstudio/google/gemma-3-27b,tfidf,1.0,1.0,1.0,1.0,1.0,0.0,0,1.0,3,0,0,210585,0.0,1.0,1.0,1.0,1.0
local_model_demo,code_fix_001,code_fix,lmstudio/openai/gpt-oss-120b,fixed,1.0,1.0,1.0,1.0,1.0,0.0,0,1.0,3,0,0,105156,0.0,1.0,1.0,1.0,1.0
local_model_demo,code_fix_001,code_fix,lmstudio/openai/gpt-oss-120b,tfidf,1.0,1.0,1.0,1.0,1.0,0.0,0,1.0,3,0,0,100204,0.0,1.0,1.0,1.0,1.0
local_model_demo,code_fix_001,code_fix,lmstudio/qwen/qwen3-vl-8b,fixed,1.0,1.0,1.0,1.0,1.0,0.0,0,1.0,3,0,0,128508,0.0,1.0,1.0,1.0,1.0
local_model_demo,code_fix_001,code_fix,lmstudio/qwen/qwen3-vl-8b,tfidf,1.0,1.0,1.0,1.0,1.0,0.0,0,1.0,3,0,0,117496,0.0,1.0,1.0,1.0,1.0
local_model_demo,custom_route_001,custom,lmstudio/google/gemma-3-27b,fixed,0.8363636363636364,0.8171717171717172,0.9464646464646465,0.8505050505050505,0.9121212121212121,0.009469696969696961,0,0.8788510101010101,3,0,0,1276478,0.0011043771043771032,1.0,1.0,1.0,1.0
local_model_demo,custom_route_001,custom,lmstudio/google/gemma-3-27b,tfidf,0.8363636363636364,0.9,0.9444444444444445,0.9222222222222222,0.9222222222222222,0.010732323232323218,0,0.9182449494949494,3,0,0,1207786,0.0005925925925925918,1.0,1.0,1.0,1.0
local_model_demo,custom_route_001,custom,lmstudio/openai/gpt-oss-120b,fixed,0.8333333333333334,0.5444444444444444,0.8252525252525253,0.8060606060606061,0.694949494949495,-0.0172979797979798,0,0.7508838383838384,3,0,0,841805,0.004895010713192534,0.6000000000000001,0.6,0.8,0.4
local_model_demo,custom_route_001,custom,lmstudio/openai/gpt-oss-120b,tfidf,0.8333333333333334,0.8373737373737374,0.35353535353535354,0.6515151515151515,0.6282828282828282,-0.025631313131313144,0,0.6244318181818183,3,0,0,858211,0.011871441689623504,0.5333333333333334,0.5333333333333334,0.8,0.4
local_model_demo,custom_route_001,custom,lmstudio/qwen/qwen3-vl-8b,fixed,0.8363636363636364,0.8363636363636364,0.8808080808080808,0.902020202020202,0.9565656565656565,0.015025252525252511,0,0.8993686868686869,3,0,0,554621,0.0005081114172023255,1.0,1.0,1.0,1.0
local_model_demo,custom_route_001,custom,lmstudio/qwen/qwen3-vl-8b,tfidf,0.8474747474747475,0.8666666666666667,0.9333333333333332,0.9222222222222222,0.9555555555555556,0.013510101010101014,0,0.9210227272727273,3,0,0,511782,0.0005925925925925925,1.0,1.0,1.0,1.0
local_model_demo,summarization_001,summarization,lmstudio/google/gemma-3-27b,fixed,0.183725845410628,0.31327202481362565,0.3808764335080124,0.5470666967441161,0.6845221643689077,0.06259953986978496,-1,0.4983367520938903,3,0,0,310203,0.0008007063511755858,0.0,0.0,0.0,0.0
local_model_demo,summarization_001,summarization,lmstudio/google/gemma-3-27b,tfidf,0.183725845410628,0.4100596760443307,0.5280357757137942,0.6170307059195949,0.7582530200451347,0.07181589682931334,-1,0.5826968025211738,3,0,0,281458,0.00011128752970575642,0.0,0.0,0.0,0.0
local_model_demo,summarization_001,summarization,lmstudio/openai/gpt-oss-120b,fixed,0.026136896390060903,0.21762580370901743,0.29043948254474566,0.3066776414074635,0.3777227414231492,0.04394823062913604,-1,0.29272898534873193,3,0,0,124020,0.0011686269280068362,0.0,0.0,0.0,0.0
local_model_demo,summarization_001,summarization,lmstudio/openai/gpt-oss-120b,tfidf,0.026136896390060903,0.2840746054519368,0.38003977579900966,0.4118815904811184,0.46511326334005126,0.054872045868748796,-1,0.37913425193361744,3,0,0,137210,0.0020324226187695177,0.0,0.0,0.0,0.0
local_model_demo,summarization_001,summarization,lmstudio/qwen/qwen3-vl-8b,fixed,0.030598290598290567,0.2648809523809524,0.47219401300942515,0.5684587109380089,0.6380165292166281,0.0759272798272922,-1,0.4962350385551898,3,0,0,145482,9.977020380274266e-05,0.0,0.0,0.0,0.0
local_model_demo,summarization_001,summarization,lmstudio/qwen/qwen3-vl-8b,tfidf,0.030598290598290567,0.402812241521919,0.627818302387268,0.7103139516932621,0.6789961280382736,0.08104972967999788,-1,0.6060966189447874,3,0,0,142216,0.00018634817261620963,0.0,0.0,0.0,0.0
